Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file D:\Projects\MouriNaruto\ntdll-crt-analysis\ntdll.dll\10.0.16299.15\arm64\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FCCC3633 time date stamp
        0.00 version
           8 ordinal base
        2317 number of functions
        2316 number of names

    ordinal hint RVA      name

        543  216 00023B90 NtResetEvent
        544  217 00023BA0 NtResetWriteWatch
        545  218 00023BB0 NtRestoreKey
        546  219 00023BC0 NtResumeProcess
        547  21A 000229D0 NtResumeThread
        548  21B 00023BD0 NtRevertContainerImpersonation
        549  21C 00023BE0 NtRollbackComplete
        550  21D 00023BF0 NtRollbackEnlistment
        551  21E 00023C00 NtRollbackRegistryTransaction
        552  21F 00023C10 NtRollbackTransaction
        553  220 00023C20 NtRollforwardTransactionManager
        554  221 00023C30 NtSaveKey
        555  222 00023C40 NtSaveKeyEx
        556  223 00023C50 NtSaveMergedKeys
        557  224 00023C60 NtSecureConnectPort
        558  225 00023C70 NtSerializeBoot
        559  226 00023C80 NtSetBootEntryOrder
        560  227 00023C90 NtSetBootOptions
        561  228 00023CA0 NtSetCachedSigningLevel
        562  229 00023CB0 NtSetCachedSigningLevel2
        563  22A 00023CC0 NtSetContextThread
        564  22B 00023CD0 NtSetDebugFilterState
        565  22C 00023CE0 NtSetDefaultHardErrorPort
        566  22D 00023CF0 NtSetDefaultLocale
        567  22E 00023D00 NtSetDefaultUILanguage
        568  22F 00023D10 NtSetDriverEntryOrder
        569  230 00023D20 NtSetEaFile
        570  231 00022590 NtSetEvent
        571  232 00022780 NtSetEventBoostPriority
        572  233 00023D30 NtSetHighEventPair
        573  234 00023D40 NtSetHighWaitLowEventPair
        574  235 00023D50 NtSetIRTimer
        575  236 00023D60 NtSetInformationDebugObject
        576  237 00023D70 NtSetInformationEnlistment
        577  238 00022720 NtSetInformationFile
        578  239 00023D80 NtSetInformationJobObject
        579  23A 00023D90 NtSetInformationKey
        580  23B 00022A70 NtSetInformationObject
        581  23C 00022670 NtSetInformationProcess
        582  23D 00023DA0 NtSetInformationResourceManager
        583  23E 00023DB0 NtSetInformationSymbolicLink
        584  23F 00022580 NtSetInformationThread
        585  240 00023DC0 NtSetInformationToken
        586  241 00023DD0 NtSetInformationTransaction
        587  242 00023DE0 NtSetInformationTransactionManager
        588  243 00023DF0 NtSetInformationVirtualMemory
        589  244 00023E00 NtSetInformationWorkerFactory
        590  245 00023E10 NtSetIntervalProfile
        591  246 00023E20 NtSetIoCompletion
        592  247 00023E30 NtSetIoCompletionEx
        593  248 00023E40 NtSetLdtEntries
        594  249 00023E50 NtSetLowEventPair
        595  24A 00023E60 NtSetLowWaitHighEventPair
        596  24B 00023E70 NtSetQuotaInformationFile
        597  24C 00023E80 NtSetSecurityObject
        598  24D 00023E90 NtSetSystemEnvironmentValue
        599  24E 00023EA0 NtSetSystemEnvironmentValueEx
        600  24F 00023EB0 NtSetSystemInformation
        601  250 00023EC0 NtSetSystemPowerState
        602  251 00023ED0 NtSetSystemTime
        603  252 00023EE0 NtSetThreadExecutionState
        604  253 00022AD0 NtSetTimer
        605  254 00023EF0 NtSetTimer2
        606  255 00023F00 NtSetTimerEx
        607  256 00023F10 NtSetTimerResolution
        608  257 00023F20 NtSetUuidSeed
        609  258 00022AB0 NtSetValueKey
        610  259 00023F30 NtSetVolumeInformationFile
        611  25A 00023F40 NtSetWnfProcessNotificationEvent
        612  25B 00023F50 NtShutdownSystem
        613  25C 00023F60 NtShutdownWorkerFactory
        614  25D 00023F70 NtSignalAndWaitForSingleObject
        615  25E 00023F80 NtSinglePhaseReject
        616  25F 00023F90 NtStartProfile
        617  260 00023FA0 NtStopProfile
        618  261 00023FB0 NtSubscribeWnfStateChange
        619  262 00023FC0 NtSuspendProcess
        620  263 00023FD0 NtSuspendThread
        621  264 00023FE0 NtSystemDebugControl
        622  265 00023FF0 NtTerminateEnclave
        623  266 00024000 NtTerminateJobObject
        624  267 00022770 NtTerminateProcess
        625  268 000229E0 NtTerminateThread
        626  269 00024010 NtTestAlert
        627  26A 00024020 NtThawRegistry
        628  26B 00024030 NtThawTransactions
        629  26C 00024040 NtTraceControl
        630  26D 00022A90 NtTraceEvent
        631  26E 00024050 NtTranslateFilePath
        632  26F 00024060 NtUmsThreadYield
        633  270 00024070 NtUnloadDriver
        634  271 00024080 NtUnloadKey
        635  272 00024090 NtUnloadKey2
        636  273 000240A0 NtUnloadKeyEx
        637  274 000240B0 NtUnlockFile
        638  275 000240C0 NtUnlockVirtualMemory
        639  276 00022750 NtUnmapViewOfSection
        640  277 000240D0 NtUnmapViewOfSectionEx
        641  278 000240E0 NtUnsubscribeWnfStateChange
        642  279 000240F0 NtUpdateWnfStateData
        643  27A 00024100 NtVdmControl
        644  27B 00024110 NtWaitForAlertByThreadId
        645  27C 00024120 NtWaitForDebugEvent
        646  27D 00024130 NtWaitForKeyedEvent
        647  27E 00022A60 NtWaitForMultipleObjects
        648  27F 00022650 NtWaitForMultipleObjects32
        649  280 000224F0 NtWaitForSingleObject
        650  281 00024140 NtWaitForWorkViaWorkerFactory
        651  282 00024150 NtWaitHighEventPair
        652  283 00024160 NtWaitLowEventPair
        653  284 000224C0 NtWorkerFactoryWorkerReady
        654  285 00022530 NtWriteFile
        655  286 00022660 NtWriteFileGather
        656  287 00022A20 NtWriteRequestData
        657  288 00022850 NtWriteVirtualMemory
        658  289 00022910 NtYieldExecution
        659  28A 00022260 NtdllDefWindowProc_A
        660  28B 0002226C NtdllDefWindowProc_W
        661  28C 000222F0 NtdllDialogWndProc_A
        662  28D 000222FC NtdllDialogWndProc_W
        663  28E 000F1EB0 PfxFindPrefix
        664  28F 000F1FA0 PfxInitialize
        665  290 000F1FC0 PfxInsertPrefix
        666  291 000F20F0 PfxRemovePrefix
        667  292 00124DB0 PssNtCaptureSnapshot
        668  293 001252C0 PssNtDuplicateSnapshot
        669  294 00125350 PssNtFreeRemoteSnapshot
        670  295 00125500 PssNtFreeSnapshot
        671  296 00125640 PssNtFreeWalkMarker
        672  297 00125680 PssNtQuerySnapshot
        673  298 001258B0 PssNtValidateDescriptor
        674  299 00125A80 PssNtWalkSnapshot
        675  29A 000976D0 RtlAbortRXact
        676  29B 00086C80 RtlAbsoluteToSelfRelativeSD
        677  29C 0008FAB0 RtlAcquirePebLock
        678  29D 0008AE00 RtlAcquirePrivilege
        679  29E 0007FEA0 RtlAcquireReleaseSRWLockExclusive
        680  29F 000860F0 RtlAcquireResourceExclusive
        681  2A0 00085FB0 RtlAcquireResourceShared
        682  2A1 00056920 RtlAcquireSRWLockExclusive
        683  2A2 00065060 RtlAcquireSRWLockShared
        684  2A3 00028D20 RtlActivateActivationContext
        685  2A4 00028D60 RtlActivateActivationContextEx
        686  2A5 0005AC80 RtlActivateActivationContextUnsafeFast
        687  2A6 0008FAC0 RtlAddAccessAllowedAce
        688  2A7 00048510 RtlAddAccessAllowedAceEx
        689  2A8 000F4E90 RtlAddAccessAllowedObjectAce
        690  2A9 0009C5B0 RtlAddAccessDeniedAce
        691  2AA 000994D0 RtlAddAccessDeniedAceEx
        692  2AB 000F4EB0 RtlAddAccessDeniedObjectAce
        693  2AC 000F4ED0 RtlAddAccessFilterAce
        694  2AD 0003AD50 RtlAddAce
        695  2AE 000F2250 RtlAddActionToRXact
        696  2AF 00083E40 RtlAddAtomToAtomTable
        697  2B0 000991A0 RtlAddAttributeActionToRXact
        698  2B1 0009C0E0 RtlAddAuditAccessAce
        699  2B2 0009CD60 RtlAddAuditAccessAceEx
        700  2B3 000F5110 RtlAddAuditAccessObjectAce
        701  2B4 000F5150 RtlAddCompoundAce
        702  2B5 00089690 RtlAddFunctionTable
        703  2B6 00089480 RtlAddGrowableFunctionTable
        704  2B7 000F71D0 RtlAddIntegrityLabelToBoundaryDescriptor
        705  2B8 0003B440 RtlAddMandatoryAce
        706  2B9 0003AEB0 RtlAddProcessTrustLabelAce
        707  2BA 000616B0 RtlAddRefActivationContext
        708  2BB 000973F0 RtlAddRefMemoryStream
        709  2BC 000F52D0 RtlAddResourceAttributeAce
        710  2BD 0003A6C0 RtlAddSIDToBoundaryDescriptor
        711  2BE 000F5610 RtlAddScopedPolicyIDAce
        712  2BF 000E53C0 RtlAddVectoredContinueHandler
        713  2C0 0008A680 RtlAddVectoredExceptionHandler
        714  2C1 00091A20 RtlAddressInSectionTable
        715  2C2 00093B70 RtlAdjustPrivilege
        716  2C3 00088380 RtlAllocateActivationContextStack
        717  2C4 0003A900 RtlAllocateAndInitializeSid
        718  2C5 0009B1A0 RtlAllocateAndInitializeSidEx
        719  2C6 000844D0 RtlAllocateHandle
        720  2C7 000528C0 RtlAllocateHeap
        721  2C8 00150000 RtlAllocateMemoryBlockLookaside
        722  2C9 00150120 RtlAllocateMemoryZone
        723  2CA 00093FE0 RtlAllocateWnfSerializationGroup
        724  2CB 0007CE30 RtlAnsiCharToUnicodeChar
        725  2CC 000F7AF0 RtlAnsiStringToUnicodeSize
        726  2CD 0005C9F0 RtlAnsiStringToUnicodeString
        727  2CE 000F7B50 RtlAppendAsciizToString
        728  2CF 000DC030 RtlAppendPathElement
        729  2D0 000F7BE0 RtlAppendStringToString
        730  2D1 0005F9A0 RtlAppendUnicodeStringToString
        731  2D2 00040200 RtlAppendUnicodeToString
        732  2D3 000E8260 RtlApplicationVerifierStop
        733  2D4 000F2290 RtlApplyRXact
        734  2D5 000976A0 RtlApplyRXactNoFlush
        735  2D6 000DBB10 RtlAppxIsFileOwnedByTrustedInstaller
        736  2D7 00092870 RtlAreAllAccessesGranted
        737  2D8 000F2370 RtlAreAnyAccessesGranted
        738  2D9 000F7CC0 RtlAreBitsClear
        739  2DA 00091CD0 RtlAreBitsSet
        740  2DB 0008C1D0 RtlAreLongPathsEnabled
        741  2DC 000F94F0 RtlAssert
        742  2DD 00089870 RtlAvlInsertNodeEx
        743  2DE 00089090 RtlAvlRemoveNode
        744  2DF 000F9650 RtlBarrier
        745  2E0 000F9670 RtlBarrierForDelete
        746  2E1 00124730 RtlCancelTimer
        747  2E2 000403D0 RtlCanonicalizeDomainName
        748  2E3 00042870 RtlCapabilityCheck
        749  2E4 000F2380 RtlCapabilityCheckForSingleSessionSku
        750  2E5 00024580 RtlCaptureContext
        751  2E6 0006B660 RtlCaptureStackBackTrace
        752  2E7 00090180 RtlCharToInteger
        753  2E8 000F9B50 RtlCheckBootStatusIntegrity
        754  2E9 000945E0 RtlCheckForOrphanedCriticalSections
        755  2EA 0003BB60 RtlCheckPortableOperatingSystem
        756  2EB 000989C0 RtlCheckRegistryKey
        757  2EC 0003A360 RtlCheckSandboxedToken
        758  2ED 000F9C90 RtlCheckSystemBootStatusIntegrity
        759  2EE 00042600 RtlCheckTokenCapability
        760  2EF 000996C0 RtlCheckTokenMembership
        761  2F0 00042BD0 RtlCheckTokenMembershipEx
        762  2F1 00090DA0 RtlCleanUpTEBLangLists
        763  2F2 0008DBB0 RtlClearAllBits
        764  2F3 0009CB00 RtlClearBit
        765  2F4 0006ECA0 RtlClearBits
        766  2F5 00084840 RtlClearThreadWorkOnBehalfTicket
        767  2F6 000E2230 RtlCloneMemoryStream
        768  2F7 000E2BD0 RtlCloneUserProcess
        769  2F8 000FEB00 RtlCmDecodeMemIoResource
        770  2F9 000FEB70 RtlCmEncodeMemIoResource
        771  2FA 000E3E80 RtlCommitDebugInfo
        772  2FB 000E2230 RtlCommitMemoryStream
        773  2FC 000FEF60 RtlCompactHeap
        774  2FD 001036F0 RtlCompareAltitudes
        775  2FE 0007A810 RtlCompareMemory
        776  2FF 00098B50 RtlCompareMemoryUlong
        777  300 0009BD90 RtlCompareString
        778  301 000303F0 RtlCompareUnicodeString
        779  302 00030410 RtlCompareUnicodeStrings
        780  303 000E2EE0 RtlCompleteProcessCloning
        781  304 00078A70 RtlCompressBuffer
        782  305 0007CDC0 RtlComputeCrc32
        783  306 000EC470 RtlComputeImportTableHash
        784  307 000E1E80 RtlComputePrivatizedDllName_U
        785  308 00098BF0 RtlConnectToSm
        786  309 000F1380 RtlConsoleMultiByteToUnicodeN
        787  30A 00095080 RtlContractHashTable
        788  30B 00095370 RtlConvertDeviceFamilyInfoToString
        789  30C 000996D0 RtlConvertExclusiveToShared
        790  30D 000FAD70 RtlConvertLCIDToString
        791  30E 000F4910 RtlConvertSRWLockExclusiveToShared
        792  30F 00097240 RtlConvertSharedToExclusive
        793  310 0004B510 RtlConvertSidToUnicodeString
        794  311 000E34A0 RtlConvertToAutoInheritSecurityObject
        795  312 000F7DA0 RtlCopyBitMap
        796  313 0007A370 RtlCopyContext
        797  314 00103D20 RtlCopyExtendedContext
        798  315 00094EF0 RtlCopyLuid
        799  316 000F23F0 RtlCopyLuidAndAttributesArray
        800  317 00096D90 RtlCopyMappedMemory
        801  318 000996B0 RtlCopyMemory
        802  319 000E2230 RtlCopyMemoryStreamTo
        803  31A 000E2230 RtlCopyOutOfProcessMemoryStreamTo
        804  31B 00086BD0 RtlCopySecurityDescriptor
        805  31C 0003B590 RtlCopySid
        806  31D 000F2420 RtlCopySidAndAttributesArray
        807  31E 00099590 RtlCopyString
        808  31F 00044C40 RtlCopyUnicodeString
        809  320 00104580 RtlCrc32
        810  321 001045B0 RtlCrc64
        811  322 0003D910 RtlCreateAcl
        812  323 00028200 RtlCreateActivationContext
        813  324 0003AA40 RtlCreateAndSetSD
        814  325 00083980 RtlCreateAtomTable
        815  326 000F9D00 RtlCreateBootStatusDataFile
        816  327 00097600 RtlCreateBoundaryDescriptor
        817  328 00097BF0 RtlCreateEnvironment
        818  329 00040D10 RtlCreateEnvironmentEx
        819  32A 0008BD90 RtlCreateHashTable
        820  32B 00103BF0 RtlCreateHashTableEx
        821  32C 00072CB0 RtlCreateHeap
        822  32D 0008D340 RtlCreateMemoryBlockLookaside
        823  32E 0008D4E0 RtlCreateMemoryZone
        824  32F 000E3000 RtlCreateProcessParameters
        825  330 00082150 RtlCreateProcessParametersEx
        826  331 000E2350 RtlCreateProcessReflection
        827  332 00071EF0 RtlCreateQueryDebugBuffer
        828  333 000FA350 RtlCreateRegistryKey
        829  334 0008DA20 RtlCreateSecurityDescriptor
        830  335 00042F20 RtlCreateServiceSid
        831  336 0009A690 RtlCreateSystemVolumeInformationFolder
        832  337 00091C70 RtlCreateTagHeap
        833  338 0002F790 RtlCreateTimer
        834  339 0002E840 RtlCreateTimerQueue
        835  33A 00040C80 RtlCreateUnicodeString
        836  33B 0005ED00 RtlCreateUnicodeStringFromAsciiz
        837  33C 000EDF20 RtlCreateUserProcess
        838  33D 00097C30 RtlCreateUserProcessEx
        839  33E 000E34B0 RtlCreateUserSecurityObject
        840  33F 0008F090 RtlCreateUserStack
        841  340 000383B0 RtlCreateUserThread
        842  341 000967B0 RtlCreateVirtualAccountSid
        843  342 00048150 RtlCultureNameToLCID
        844  343 000F14C0 RtlCustomCPToUnicodeN
        845  344 000804A0 RtlCutoverTimeToSystemTime
        846  345 000E3E90 RtlDeCommitDebugInfo
        847  346 000E3030 RtlDeNormalizeProcessParams
        848  347 00088710 RtlDeactivateActivationContext
        849  348 0005D070 RtlDeactivateActivationContextUnsafeFast
        850  349 00027FE0 RtlDebugPrintTimes
        851  34A 000864B0 RtlDecodePointer
        852  34B 000E8620 RtlDecodeRemotePointer
        853  34C 00092740 RtlDecodeSystemPointer
        854  34D 001039A0 RtlDecompressBuffer
        855  34E 00079A00 RtlDecompressBufferEx
        856  34F 00103A50 RtlDecompressFragment
        857  350 000E3550 RtlDefaultNpAcl
        858  351 0007B670 RtlDelete
        859  352 00027860 RtlDeleteAce
        860  353 00083D40 RtlDeleteAtomFromAtomTable
        861  354 000F9690 RtlDeleteBarrier
        862  355 0003AA20 RtlDeleteBoundaryDescriptor
        863  356 0002D890 RtlDeleteCriticalSection
        864  357 0007B0C0 RtlDeleteElementGenericTable
        865  358 000832E0 RtlDeleteElementGenericTableAvl
        866  359 00083320 RtlDeleteElementGenericTableAvlEx
        867  35A 00088EF0 RtlDeleteFunctionTable
        868  35B 00027C50 RtlDeleteGrowableFunctionTable
        869  35C 000980B0 RtlDeleteHashTable
        870  35D 0007B730 RtlDeleteNoSplay
        871  35E 0009CB30 RtlDeleteRegistryValue
        872  35F 0002D840 RtlDeleteResource
        873  360 00090CC0 RtlDeleteSecurityObject
        874  361 0002F130 RtlDeleteTimer
        875  362 00124740 RtlDeleteTimerQueue
        876  363 0002DBD0 RtlDeleteTimerQueueEx
        877  364 00105C40 RtlDeregisterSecureMemoryCacheCallback
        878  365 0002E600 RtlDeregisterWait
        879  366 00030FC0 RtlDeregisterWaitEx
        880  367 00042420 RtlDeriveCapabilitySidsFromName
        881  368 000F6F70 RtlDestroyAtomTable
        882  369 00040ED0 RtlDestroyEnvironment
        883  36A 00099700 RtlDestroyHandleTable
        884  36B 00072160 RtlDestroyHeap
        885  36C 00027600 RtlDestroyMemoryBlockLookaside
        886  36D 00027650 RtlDestroyMemoryZone
        887  36E 000950B0 RtlDestroyProcessParameters
        888  36F 0007CBD0 RtlDestroyQueryDebugBuffer
        889  370 00070D20 RtlDetectHeapLeaks
        890  371 0003A0D0 RtlDetermineDosPathNameType_U
        891  372 000DBD40 RtlDisableThreadProfiling
        892  373 000356F0 RtlDllShutdownInProgress
        893  374 00099830 RtlDnsHostNameToComputerName
        894  375 00027FC0 RtlDoesFileExists_U
        895  376 0004C340 RtlDosApplyFileIsolationRedirection_Ustr
        896  377 000DC260 RtlDosLongPathNameToNtPathName_U_WithStatus
        897  378 000DC280 RtlDosLongPathNameToRelativeNtPathName_U_WithStatus
        898  379 0008C950 RtlDosPathNameToNtPathName_U
        899  37A 0008E780 RtlDosPathNameToNtPathName_U_WithStatus
        900  37B 000299C0 RtlDosPathNameToRelativeNtPathName_U
        901  37C 0004BCD0 RtlDosPathNameToRelativeNtPathName_U_WithStatus
        902  37D 0003A150 RtlDosSearchPath_U
        903  37E 0004BD30 RtlDosSearchPath_Ustr
        904  37F 000F7470 RtlDowncaseUnicodeChar
        905  380 000922E0 RtlDowncaseUnicodeString
        906  381 000F4A50 RtlDumpResource
        907  382 0008E9E0 RtlDuplicateUnicodeString
        908  383 000F7050 RtlEmptyAtomTable
        909  384 000F4AB0 RtlEnableEarlyCriticalSectionEventCreation
        910  385 000DBDA0 RtlEnableThreadProfiling
        911  386 0008A860 RtlEncodePointer
        912  387 000E8690 RtlEncodeRemotePointer
        913  388 00096F20 RtlEncodeSystemPointer
        914  389 00094C20 RtlEndEnumerationHashTable
        915  38A 00027FE0 RtlEndStrongEnumerationHashTable
        916  38B 00103C10 RtlEndWeakEnumerationHashTable
        917  38C 00068DC0 RtlEnterCriticalSection
        918  38D 000FF110 RtlEnumProcessHeaps
        919  38E 00085490 RtlEnumerateEntryHashTable
        920  38F 0007B050 RtlEnumerateGenericTable
        921  390 0008E7A0 RtlEnumerateGenericTableAvl
        922  391 00105930 RtlEnumerateGenericTableLikeADirectory
        923  392 0007EDC0 RtlEnumerateGenericTableWithoutSplaying
        924  393 0008E7C0 RtlEnumerateGenericTableWithoutSplayingAvl
        925  394 000F74D0 RtlEqualComputerName
        926  395 00040320 RtlEqualDomainName
        927  396 000F24F0 RtlEqualLuid
        928  397 000492F0 RtlEqualPrefixSid
        929  398 00048F30 RtlEqualSid
        930  399 0008DA50 RtlEqualString
        931  39A 0005E8E0 RtlEqualUnicodeString
        932  39B 000996A0 RtlEqualWnfChangeStamps
        933  39C 00099740 RtlEraseUnicodeString
        934  39D 00106B60 RtlEthernetAddressToStringA
        935  39E 00106D90 RtlEthernetAddressToStringW
        936  39F 00106DF0 RtlEthernetStringToAddressA
        937  3A0 00106F60 RtlEthernetStringToAddressW
        938  3A1 000709A0 RtlExitUserProcess
        939  3A2 0008CB30 RtlExitUserThread
        940  3A3 0006B6D0 RtlExpandEnvironmentStrings
        941  3A4 0006CDE0 RtlExpandEnvironmentStrings_U
        942  3A5 00099F60 RtlExpandHashTable
        943  3A6 001070B0 RtlExtendCorrelationVector
        944  3A7 00027E00 RtlExtendMemoryBlockLookaside
        945  3A8 00027E10 RtlExtendMemoryZone
        946  3A9 000F7FE0 RtlExtractBitMap
        947  3AA 00103960 RtlFillMemory
        948  3AB 000936A0 RtlFillMemoryUlong
        949  3AC 00103970 RtlFillMemoryUlonglong
        950  3AD 00027FE0 RtlFinalReleaseOutOfProcessMemoryStream
        951  3AE 00099130 RtlFindAceByType
        952  3AF 0004BA80 RtlFindActivationContextSectionGuid
        953  3B0 0004CC20 RtlFindActivationContextSectionString
        954  3B1 0004E930 RtlFindCharInUnicodeString
        955  3B2 000F81C0 RtlFindClearBits
        956  3B3 0006E850 RtlFindClearBitsAndSet
        957  3B4 000F8540 RtlFindClearRuns
        958  3B5 000FEC80 RtlFindClosestEncodableLength
        959  3B6 000867F0 RtlFindExportedRoutineByName
        960  3B7 0008E3B0 RtlFindLastBackwardRunClear
        961  3B8 00072750 RtlFindLeastSignificantBit
        962  3B9 000F8810 RtlFindLongestRunClear
        963  3BA 0006BC60 RtlFindMessage
        964  3BB 00096420 RtlFindMostSignificantBit
        965  3BC 000F8860 RtlFindNextForwardRunClear
        966  3BD 00098D90 RtlFindSetBits
        967  3BE 000F89D0 RtlFindSetBitsAndClear
        968  3BF 000F74F0 RtlFindUnicodeSubstring
        969  3C0 00024340 RtlFirstEntrySList
        970  3C1 0004B280 RtlFirstFreeAce
        971  3C2 0006F3B0 RtlFlsAlloc
        972  3C3 00071C70 RtlFlsFree
        973  3C4 00078000 RtlFlushHeaps
        974  3C5 00105D20 RtlFlushSecureMemoryCache
        975  3C6 0004B8E0 RtlFormatCurrentUserKeyPath
        976  3C7 00099AD0 RtlFormatMessage
        977  3C8 0007E510 RtlFormatMessageEx
        978  3C9 000884A0 RtlFreeActivationContextStack
        979  3CA 0004ECD0 RtlFreeAnsiString
        980  3CB 00083B30 RtlFreeHandle
        981  3CC 0004F280 RtlFreeHeap
        982  3CD 001501A0 RtlFreeMemoryBlockLookaside
        983  3CE 0009CD90 RtlFreeOemString
        984  3CF 0003A680 RtlFreeSid
        985  3D0 00088410 RtlFreeThreadActivationContextStack
        986  3D1 0004ECD0 RtlFreeUnicodeString
        987  3D2 00095A30 RtlFreeUserStack
        988  3D3 00084F50 RtlGUIDFromString
        989  3D4 00107730 RtlGenerate8dot3Name
        990  3D5 00086760 RtlGetAce
        991  3D6 0008F2A0 RtlGetActiveActivationContext
        992  3D7 00095BC0 RtlGetActiveConsoleId
        993  3D8 0003F400 RtlGetAppContainerNamedObjectPath
        994  3D9 00027FF0 RtlGetAppContainerParent
        995  3DA 00042AD0 RtlGetAppContainerSidType
        996  3DB 000F9810 RtlGetCallersAddress
        997  3DC 00094530 RtlGetCompressionWorkSpaceSize
        998  3DD 00107F50 RtlGetConsoleSessionForegroundProcessId
        999  3DE 0008FE80 RtlGetControlSecurityDescriptor
       1000  3DF 000F4AD0 RtlGetCriticalSectionRecursionCount
       1001  3E0 00091D60 RtlGetCurrentDirectory_U
       1002  3E1 00107F90 RtlGetCurrentPeb
       1003  3E2 000859F0 RtlGetCurrentProcessorNumber
       1004  3E3 0008A950 RtlGetCurrentProcessorNumberEx
       1005  3E4 00059FB0 RtlGetCurrentServiceSessionId
       1006  3E5 00089D30 RtlGetCurrentTransaction
       1007  3E6 0008A970 RtlGetDaclSecurityDescriptor
       1008  3E7 000447E0 RtlGetDeviceFamilyInfoEnum
       1009  3E8 00090CF0 RtlGetElementGenericTable
       1010  3E9 00105A70 RtlGetElementGenericTableAvl
       1011  3EA 00095490 RtlGetEnabledExtendedFeatures
       1012  3EB 000961A0 RtlGetExePath
       1013  3EC 0007FFC0 RtlGetExtendedContextLength
       1014  3ED 00103D30 RtlGetExtendedFeaturesMask
       1015  3EE 0003C1E0 RtlGetFileMUIPath
       1016  3EF 000DCBD0 RtlGetFrame
       1017  3F0 0003C120 RtlGetFullPathName_U
       1018  3F1 0003C150 RtlGetFullPathName_UEx
       1019  3F2 0004AA90 RtlGetFullPathName_UstrEx
       1020  3F3 000ECD20 RtlGetFunctionTableListHead
       1021  3F4 000919D0 RtlGetGroupSecurityDescriptor
       1022  3F5 00084290 RtlGetIntegerAtom
       1023  3F6 000F1A50 RtlGetInterruptTimePrecise
       1024  3F7 00099730 RtlGetLastNtStatus
       1025  3F8 00027DB0 RtlGetLastWin32Error
       1026  3F9 0007AD30 RtlGetLengthWithoutLastFullDosOrNtPathElement
       1027  3FA 0007B000 RtlGetLengthWithoutTrailingPathSeperators
       1028  3FB 00092590 RtlGetLocaleFileMappingAddress
       1029  3FC 00099120 RtlGetLongestNtPathLength
       1030  3FD 00022810 RtlGetNativeSystemInformation
       1031  3FE 000926A0 RtlGetNextEntryHashTable
       1032  3FF 000FA390 RtlGetNtGlobalFlags
       1033  400 00076E80 RtlGetNtProductType
       1034  401 0005F090 RtlGetNtSystemRoot
       1035  402 00095BF0 RtlGetNtVersionNumbers
       1036  403 0008D810 RtlGetOwnerSecurityDescriptor
       1037  404 00045A50 RtlGetParentLocaleName
       1038  405 000FF120 RtlGetProcessHeaps
       1039  406 000FAE60 RtlGetProcessPreferredUILanguages
       1040  407 000972A0 RtlGetProductInfo
       1041  408 0008CCD0 RtlGetSaclSecurityDescriptor
       1042  409 000970C0 RtlGetSearchPath
       1043  40A 00099680 RtlGetSecurityDescriptorRMControl
       1044  40B 000F2520 RtlGetSessionProperties
       1045  40C 000F9E20 RtlGetSetBootStatusData
       1046  40D 00037660 RtlGetSuiteMask
       1047  40E 000F9F60 RtlGetSystemBootStatus
       1048  40F 000F9F90 RtlGetSystemBootStatusEx
       1049  410 0008DC60 RtlGetSystemPreferredUILanguages
       1050  411 0007DF70 RtlGetSystemTimePrecise
       1051  412 00071BF0 RtlGetThreadErrorMode
       1052  413 000FAF60 RtlGetThreadLangIdByIndex
       1053  414 00048520 RtlGetThreadPreferredUILanguages
       1054  415 0008A9D0 RtlGetThreadWorkOnBehalfTicket
       1055  416 0003D160 RtlGetTokenNamedObjectPath
       1056  417 000FB030 RtlGetUILanguageInfo
       1057  418 000DD720 RtlGetUnloadEventTrace
       1058  419 000DD730 RtlGetUnloadEventTraceEx
       1059  41A 0008E870 RtlGetUserInfoHeap
       1060  41B 0008DE50 RtlGetUserPreferredUILanguages
       1061  41C 000605D0 RtlGetVersion
       1062  41D 000ECD30 RtlGrowFunctionTable
       1063  41E 00108A70 RtlGuardCheckLongJumpTarget
       1064  41F 0004E870 RtlHashUnicodeString
       1065  420 001090B0 RtlHeapTrkInitialize
       1066  421 000931A0 RtlIdentifierAuthoritySid
       1067  422 00045720 RtlIdnToAscii
       1068  423 0010A550 RtlIdnToNameprepUnicode
       1069  424 000450E0 RtlIdnToUnicode
       1070  425 0008F5F0 RtlImageDirectoryEntryToData
       1071  426 00065F50 RtlImageNtHeader
       1072  427 000686D0 RtlImageNtHeaderEx
       1073  428 000F71E0 RtlImageRvaToSection
       1074  429 000F7240 RtlImageRvaToVa
       1075  42A 0008B020 RtlImpersonateSelf
       1076  42B 0008B030 RtlImpersonateSelfEx
       1077  42C 00107130 RtlIncrementCorrelationVector
       1078  42D 0005F2C0 RtlInitAnsiString
       1079  42E 0005ED40 RtlInitAnsiStringEx
       1080  42F 000F96D0 RtlInitBarrier
       1081  430 000F1590 RtlInitCodePageTable
       1082  431 00085270 RtlInitEnumerationHashTable
       1083  432 00027FE0 RtlInitMemoryStream
       1084  433 000F1640 RtlInitNlsTables
       1085  434 00027FE0 RtlInitOutOfProcessMemoryStream
       1086  435 0005F2C0 RtlInitString
       1087  436 000F7C50 RtlInitStringEx
       1088  437 00103C20 RtlInitStrongEnumerationHashTable
