Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file D:\Projects\MouriNaruto\ntdll-crt-analysis\ntdll.dll\10.0.16299.15\arm64\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FCCC3633 time date stamp
        0.00 version
           8 ordinal base
        2317 number of functions
        2316 number of names

    ordinal hint RVA      name

        131   7A 0008F360 LdrGetDllHandleByName
        132   7B 0006ED90 LdrGetDllHandleEx
        133   7C 0005DA90 LdrGetDllPath
        134   7D 000DCEE0 LdrGetFailureData
        135   7E 000ED440 LdrGetFileNameFromLoadAsDataTable
        136   7F 000943E0 LdrGetKnownDllSectionHandle
        137   80 00093270 LdrGetProcedureAddress
        138   81 000719B0 LdrGetProcedureAddressEx
        139   82 000658E0 LdrGetProcedureAddressForCaller
        140   83 000DF5A0 LdrInitShimEngineDynamic
        141   84 000DCB10 LdrInitializeEnclave
        142   85 000888F0 LdrInitializeThunk
        143   86 00028470 LdrLoadAlternateResourceModule
        144   87 00062A60 LdrLoadAlternateResourceModuleEx
        145   88 0006FB80 LdrLoadDll
        146   89 000DCA90 LdrLoadEnclaveModule
        147   8A 0008ABD0 LdrLockLoaderLock
        148   8B 000EDF80 LdrOpenImageFileOptionsKey
        149   8C 00088B60 LdrProcessInitializationComplete
        150   8D 000EFF30 LdrProcessRelocationBlock
        151   8E 000EFF50 LdrProcessRelocationBlockEx
        152   8F 0008FC60 LdrQueryImageFileExecutionOptions
        153   90 0008FC80 LdrQueryImageFileExecutionOptionsEx
        154   91 0008FDD0 LdrQueryImageFileKeyOption
        155   92 000DCEF0 LdrQueryModuleServiceTags
        156   93 000DDB80 LdrQueryOptionalDelayLoadedAPI
        157   94 000DCFA0 LdrQueryProcessModuleInformation
        158   95 0009BB60 LdrRegisterDllNotification
        159   96 0009C960 LdrRemoveDllDirectory
        160   97 0008ECB0 LdrRemoveLoadAsDataTable
        161   98 000F0590 LdrResFindResource
        162   99 0002A0B0 LdrResFindResourceDirectory
        163   9A 0002C160 LdrResGetRCConfig
        164   9B 0002DA50 LdrResRelease
        165   9C 0002A110 LdrResSearchResource
        166   9D 000656C0 LdrResolveDelayLoadedAPI
        167   9E 000DDC60 LdrResolveDelayLoadsFromDll
        168   9F 000632F0 LdrRscIsTypeExist
        169   A0 000973F0 LdrSetAppCompatDllRedirectionCallback
        170   A1 00093AE0 LdrSetDefaultDllDirectories
        171   A2 000263F0 LdrSetDllDirectory
        172   A3 00096F40 LdrSetDllManifestProber
        173   A4 000DD3C0 LdrSetImplicitPathOptions
        174   A5 0009CC40 LdrSetMUICacheType
        175   A6 00070640 LdrShutdownProcess
        176   A7 0005A680 LdrShutdownThread
        177   A8 00027FE0 LdrStandardizeSystemPath
        178   A9 001612C0 LdrSystemDllInitBlock
        179   AA 0002F040 LdrUnloadAlternateResourceModule
        180   AB 00030500 LdrUnloadAlternateResourceModuleEx
        181   AC 00031440 LdrUnloadDll
        182   AD 0006CC80 LdrUnlockLoaderLock
        183   AE 000DD440 LdrUnregisterDllNotification
        184   AF 000EA540 LdrUpdatePackageSearchPath
        185   B0 000DD500 LdrVerifyImageMatchesChecksum
        186   B1 0009A1A0 LdrVerifyImageMatchesChecksumEx
        187   B2 0002B9A0 LdrpResGetMappingSize
        188   B3 0002A9B0 LdrpResGetResourceDirectory
        189   B4 001205F0 MD4Final
        190   B5 001206A0 MD4Init
        191   B6 00120C90 MD4Update
        192   B7 0007D360 MD5Final
        193   B8 00091ED0 MD5Init
        194   B9 0007D410 MD5Update
        195   BA 00153760 NlsAnsiCodePage
        196   BB 00153304 NlsMbCodePageTag
        197   BC 00153790 NlsMbOemCodePageTag
        198   BD 000224D0 NtAcceptConnectPort
        199   BE 000224B0 NtAccessCheck
